NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-02-12 02:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 02:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 02:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 02:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 02:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 03:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 04:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 05:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
